already embedded for 'summary_only': 232 (will skip)
loading Qwen/Qwen3-Embedding-4B (bf16) ...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 9503.31it/s]
model loaded
[batch 240] 7680 embedded, 0 truncated, 44.3s elapsed, 173.41 docs/s
[batch 241] 7712 embedded, 0 truncated, 44.4s elapsed, 173.78 docs/s
[batch 242] 7744 embedded, 0 truncated, 44.5s elapsed, 174.10 docs/s
[batch 243] 7776 embedded, 0 truncated, 44.6s elapsed, 174.20 docs/s
[batch 244] 7808 embedded, 0 truncated, 44.9s elapsed, 173.92 docs/s
[batch 245] 7840 embedded, 0 truncated, 45.1s elapsed, 173.93 docs/s
[batch 246] 7872 embedded, 0 truncated, 45.3s elapsed, 173.95 docs/s
[batch 247] 7904 embedded, 0 truncated, 45.4s elapsed, 174.01 docs/s
[batch 248] 7936 embedded, 0 truncated, 45.6s elapsed, 174.11 docs/s
[batch 249] 7968 embedded, 0 truncated, 45.9s elapsed, 173.75 docs/s
[batch 250] 8000 embedded, 0 truncated, 46.0s elapsed, 173.80 docs/s
[batch 251] 8032 embedded, 0 truncated, 46.2s elapsed, 173.94 docs/s
[batch 252] 8064 embedded, 0 truncated, 46.3s elapsed, 174.04 docs/s
[batch 253] 8096 embedded, 0 truncated, 46.5s elapsed, 174.05 docs/s
[batch 254] 8128 embedded, 0 truncated, 46.7s elapsed, 174.15 docs/s
[batch 255] 8160 embedded, 0 truncated, 46.9s elapsed, 173.98 docs/s
[batch 256] 8192 embedded, 0 truncated, 47.1s elapsed, 173.95 docs/s
[batch 257] 8224 embedded, 0 truncated, 47.3s elapsed, 174.05 docs/s
[batch 258] 8256 embedded, 0 truncated, 47.4s elapsed, 174.10 docs/s
[batch 259] 8288 embedded, 0 truncated, 47.6s elapsed, 174.20 docs/s
[batch 260] 8320 embedded, 0 truncated, 47.7s elapsed, 174.26 docs/s
[batch 261] 8352 embedded, 0 truncated, 47.9s elapsed, 174.22 docs/s
[batch 262] 8384 embedded, 0 truncated, 48.1s elapsed, 174.28 docs/s
[batch 263] 8416 embedded, 0 truncated, 48.3s elapsed, 174.37 docs/s
[batch 264] 8448 embedded, 0 truncated, 48.6s elapsed, 173.93 docs/s
[batch 265] 8480 embedded, 0 truncated, 48.7s elapsed, 174.02 docs/s
[batch 266] 8512 embedded, 0 truncated, 48.9s elapsed, 173.99 docs/s
[batch 267] 8544 embedded, 0 truncated, 49.1s elapsed, 173.97 docs/s
[batch 268] 8576 embedded, 0 truncated, 49.3s elapsed, 173.98 docs/s
[batch 269] 8608 embedded, 0 truncated, 49.4s elapsed, 174.17 docs/s
[batch 270] 8640 embedded, 0 truncated, 49.6s elapsed, 174.35 docs/s
[batch 271] 8672 embedded, 0 truncated, 49.7s elapsed, 174.40 docs/s
[batch 272] 8704 embedded, 0 truncated, 49.9s elapsed, 174.41 docs/s
[batch 273] 8736 embedded, 0 truncated, 50.1s elapsed, 174.34 docs/s
[batch 274] 8768 embedded, 0 truncated, 50.3s elapsed, 174.46 docs/s
[batch 275] 8800 embedded, 0 truncated, 50.4s elapsed, 174.59 docs/s
[batch 276] 8832 embedded, 0 truncated, 50.5s elapsed, 174.72 docs/s
[batch 277] 8864 embedded, 0 truncated, 50.7s elapsed, 174.81 docs/s
[batch 278] 8896 embedded, 0 truncated, 50.9s elapsed, 174.78 docs/s
[batch 279] 8928 embedded, 0 truncated, 51.1s elapsed, 174.71 docs/s
[batch 280] 8960 embedded, 0 truncated, 51.3s elapsed, 174.72 docs/s
[batch 281] 8992 embedded, 0 truncated, 51.4s elapsed, 174.80 docs/s
[batch 282] 9024 embedded, 0 truncated, 51.8s elapsed, 174.31 docs/s
[batch 283] 9056 embedded, 0 truncated, 52.0s elapsed, 174.32 docs/s
[batch 284] 9088 embedded, 0 truncated, 52.2s elapsed, 174.17 docs/s
[batch 285] 9120 embedded, 0 truncated, 52.3s elapsed, 174.21 docs/s
[batch 286] 9152 embedded, 0 truncated, 52.5s elapsed, 174.34 docs/s
[batch 287] 9184 embedded, 0 truncated, 52.7s elapsed, 174.34 docs/s
[batch 288] 9216 embedded, 0 truncated, 52.9s elapsed, 174.31 docs/s
[batch 289] 9248 embedded, 0 truncated, 53.1s elapsed, 174.29 docs/s
[batch 290] 9280 embedded, 0 truncated, 53.2s elapsed, 174.37 docs/s
[batch 291] 9312 embedded, 0 truncated, 53.4s elapsed, 174.54 docs/s
[batch 292] 9344 embedded, 0 truncated, 53.5s elapsed, 174.70 docs/s
[batch 293] 9376 embedded, 0 truncated, 53.7s elapsed, 174.63 docs/s
[batch 294] 9408 embedded, 0 truncated, 53.8s elapsed, 174.72 docs/s
[batch 295] 9440 embedded, 0 truncated, 54.0s elapsed, 174.88 docs/s
[batch 296] 9472 embedded, 0 truncated, 54.2s elapsed, 174.85 docs/s
[batch 297] 9504 embedded, 0 truncated, 54.3s elapsed, 175.00 docs/s
[batch 298] 9536 embedded, 0 truncated, 54.5s elapsed, 175.11 docs/s
[batch 299] 9568 embedded, 0 truncated, 54.6s elapsed, 175.23 docs/s
[batch 300] 9600 embedded, 0 truncated, 54.8s elapsed, 175.27 docs/s
[batch 301] 9632 embedded, 0 truncated, 55.0s elapsed, 175.28 docs/s
[batch 302] 9664 embedded, 0 truncated, 55.1s elapsed, 175.28 docs/s
[batch 303] 9696 embedded, 0 truncated, 55.3s elapsed, 175.32 docs/s
[batch 304] 9728 embedded, 0 truncated, 55.5s elapsed, 175.36 docs/s
[batch 305] 9760 embedded, 0 truncated, 55.6s elapsed, 175.51 docs/s
[batch 306] 9792 embedded, 0 truncated, 55.8s elapsed, 175.44 docs/s
[batch 307] 9824 embedded, 0 truncated, 56.0s elapsed, 175.47 docs/s
[batch 308] 9856 embedded, 0 truncated, 56.2s elapsed, 175.48 docs/s
[batch 309] 9888 embedded, 0 truncated, 56.3s elapsed, 175.52 docs/s
[batch 310] 9920 embedded, 0 truncated, 56.5s elapsed, 175.59 docs/s
[batch 311] 9952 embedded, 0 truncated, 56.7s elapsed, 175.55 docs/s
[batch 312] 9984 embedded, 0 truncated, 56.9s elapsed, 175.55 docs/s
[batch 313] 10016 embedded, 0 truncated, 57.1s elapsed, 175.44 docs/s
[batch 314] 10048 embedded, 0 truncated, 57.3s elapsed, 175.27 docs/s
[batch 315] 10080 embedded, 0 truncated, 57.5s elapsed, 175.17 docs/s
[batch 316] 10112 embedded, 0 truncated, 57.7s elapsed, 175.21 docs/s
[batch 317] 10144 embedded, 0 truncated, 57.9s elapsed, 175.19 docs/s
[batch 318] 10176 embedded, 0 truncated, 58.1s elapsed, 175.26 docs/s
[batch 319] 10208 embedded, 0 truncated, 58.3s elapsed, 175.16 docs/s
[batch 320] 10240 embedded, 0 truncated, 58.4s elapsed, 175.20 docs/s
[batch 321] 10272 embedded, 0 truncated, 58.7s elapsed, 175.10 docs/s
[batch 322] 10304 embedded, 0 truncated, 59.0s elapsed, 174.50 docs/s
[batch 323] 10336 embedded, 0 truncated, 59.2s elapsed, 174.54 docs/s
[batch 324] 10368 embedded, 0 truncated, 59.3s elapsed, 174.69 docs/s
[batch 325] 10400 embedded, 0 truncated, 59.5s elapsed, 174.77 docs/s
[batch 326] 10432 embedded, 0 truncated, 59.7s elapsed, 174.71 docs/s
[batch 327] 10464 embedded, 0 truncated, 59.9s elapsed, 174.78 docs/s
[batch 328] 10496 embedded, 0 truncated, 60.0s elapsed, 174.79 docs/s
[batch 329] 10528 embedded, 0 truncated, 60.2s elapsed, 174.89 docs/s
